"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,,,,
"ND Medicaid Professional Services Fee Schedule",,,,,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Telehealth Allowed","Modifier Required","Professional Rate","Technical Rate","General Rate","ASC Rate","NDC Required","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","Service Authorization Required","LCD/NCD","EVV","General Notes"
"27202","Treat tail bone fracture","Professional","Yes",,"No",,,,"$570.72","$913.93","No","No","No","No","No","No",,,
"27215","Treat pelvic fracture(s)","Professional","Yes",,"No",,,,"$651.77","Not Allowed","No","No","No","No","No","No",,,
"27216","Treat pelvic ring fracture","Professional","Yes",,"No",,,,"$963.48","Not Allowed","No","No","No","No","No","No",,,
"27217","Treat pelvic ring fracture","Professional","Yes",,"No",,,,"$905.63","Not Allowed","No","No","No","No","No","No",,,
"27218","Treat pelvic ring fracture","Professional","Yes",,"No",,,,"$1,240.18","Not Allowed","No","No","No","No","No","No",,,
"27220","Treat hip socket fracture","Professional","Yes",,"No",,,,"$455.03","$74.62","No","No","No","No","No","No",,,
"27222","Treat hip socket fracture","Professional","Yes",,"No",,,,"$1,051.17","Not Allowed","No","No","No","No","No","No",,,
"27226","Treat hip wall fracture","Professional","Yes",,"No",,,,"$1,123.38","Not Allowed","No","No","No","No","No","No",,,
"27227","Treat hip fracture(s)","Professional","Yes",,"No",,,,"$1,749.73","Not Allowed","No","No","No","No","No","No",,,
"27228","Treat hip fracture(s)","Professional","Yes",,"No",,,,"$1,983.69","Not Allowed","No","No","No","No","No","No",,,
"27230","Treat thigh fracture","Professional","Yes",,"No",,,,"$534.61","$74.62","No","No","No","No","No","No",,,
"27232","Treat thigh fracture","Professional","Yes",,"No",,,,"$776.31","Not Allowed","No","No","No","No","No","No",,,
"27235","Treat thigh fracture","Professional","Yes",,"No",,,,"$971.95","Not Allowed","No","No","No","No","No","No",,,
"27236","Treat thigh fracture","Professional","Yes",,"No",,,,"$1,272.60","Not Allowed","No","No","No","No","No","No",,,
"27238","Treat thigh fracture","Professional","Yes",,"No",,,,"$513.98","$485.15","No","No","No","No","No","No",,,
"27240","Treat thigh fracture","Professional","Yes",,"No",,,,"$1,023.16","Not Allowed","No","No","No","No","No","No",,,
"27244","Treat thigh fracture","Professional","Yes",,"No",,,,"$1,308.71","Not Allowed","No","No","No","No","No","No",,,
"27245","Treat thigh fracture","Professional","Yes",,"No",,,,"$1,307.23","Not Allowed","No","No","No","No","No","No",,,
"27246","Treat thigh fracture","Professional","Yes",,"No",,,,"$429.97","$74.62","No","No","No","No","No","No",,,
"27248","Treat thigh fracture","Professional","Yes",,"No",,,,"$798.41","Not Allowed","No","No","No","No","No","No",,,
"27250","Treat hip dislocation","Professional","Yes",,"No",,,,"$184.22","$74.62","No","No","No","No","No","No",,,
"27252","Treat hip dislocation","Professional","Yes",,"No",,,,"$799.52","$485.15","No","No","No","No","No","No",,,
"27253","Treat hip dislocation","Professional","Yes",,"No",,,,"$1,005.48","Not Allowed","No","No","No","No","No","No",,,
"27254","Treat hip dislocation","Professional","Yes",,"No",,,,"$1,353.29","Not Allowed","No","No","No","No","No","No",,,
"27256","Treat hip dislocation","Professional","Yes",,"No",,,,"$341.55","$74.62","No","No","No","No","No","No",,,
"27257","Treat hip dislocation","Professional","Yes",,"No",,,,"$385.39","$485.15","No","No","No","No","No","No",,,
"27258","Treat hip dislocation","Professional","Yes",,"No",,,,"$1,187.49","Not Allowed","No","No","No","No","No","No",,,
"27259","Treat hip dislocation","Professional","Yes",,"No",,,,"$1,639.94","Not Allowed","No","No","No","No","No","No",,,
"27265","Treat hip dislocation","Professional","Yes",,"No",,,,"$459.82","$74.62","No","No","No","No","No","No",,,
"27266","Treat hip dislocation","Professional","Yes",,"No",,,,"$630.40","$485.15","No","No","No","No","No","No",,,
"27267","Cltx thigh fx","Professional","Yes",,"No",,,,"$481.92","$913.93","No","No","No","No","No","No",,,
"27268","Cltx thigh fx w/mnpj","Professional","Yes",,"No",,,,"$593.56","Not Allowed","No","No","No","No","No","No",,,
"27269","Optx thigh fx","Professional","Yes",,"No",,,,"$1,317.92","Not Allowed","No","No","No","No","No","No",,,
"27275","Manipulation of hip joint","Professional","Yes",,"No",,,,"$200.80","$485.15","No","No","No","No","No","No",,,
"27278","Arthrd si jt plmt iartic dev","Professional","Yes",,"No",,,,"$13,431.92","$9,069.25","No","No","No","No","No","No",,,
"27279","Arthrd si jt plmt tartclr dv","Professional","Yes",,"No",,,,"$856.26","$8,783.30","No","No","No","No","No","No",,,
"27280","Arthr si jt opn b1grf instrm","Professional","Yes",,"No",,,,"$1,424.03","Not Allowed","No","No","No","No","No","No",,,
"27282","Arthrodesis symphysis pubis","Professional","Yes",,"No",,,,"$926.26","Not Allowed","No","No","No","No","No","No",,,
"27284","Arthrodesis hip joint","Professional","Yes",,"No",,,,"$1,694.83","Not Allowed","No","No","No","No","No","No",,,
"27286","Arthrd hip jt sbtrchc osteot","Professional","Yes",,"No",,,,"$1,740.15","Not Allowed","No","No","No","No","No","No",,,
"27290","Amputation of leg at hip","Professional","Yes",,"No",,,,"$1,722.83","Not Allowed","No","No","No","No","No","No",,,
"27295","Amputation of leg at hip","Professional","Yes",,"No",,,,"$1,325.65","Not Allowed","No","No","No","No","No","No",,,
"27299","Unlisted px pelvis/hip joint","Professional","Yes",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"27301","Drain thigh/knee lesion","Professional","Yes",,"No",,,,"$726.20","$695.59","No","No","No","No","No","No",,,
"27303","Drainage of bone lesion","Professional","Yes",,"No",,,,"$694.88","Not Allowed","No","No","No","No","No","No",,,
"27305","Incise thigh tendon & fascia","Professional","Yes",,"No",,,,"$527.98","$913.93","No","No","No","No","No","No",,,
"27306","Incision of thigh tendon","Professional","Yes",,"No",,,,"$380.97","$913.93","No","No","No","No","No","No",,,
"27307","Incision of thigh tendons","Professional","Yes",,"No",,,,"$453.92","$913.93","No","No","No","No","No","No",,,
"27310","Exploration of knee joint","Professional","Yes",,"No",,,,"$792.15","$913.93","No","No","No","No","No","No",,,
"27323","Biopsy thigh soft tissues","Professional","Yes",,"No",,,,"$296.23","$409.91","No","No","No","No","No","No",,,
"27324","Biopsy thigh soft tissues","Professional","Yes",,"No",,,,"$446.92","$695.59","No","No","No","No","No","No",,,
"27325","Neurectomy, hamstring","Professional","Yes",,"No",,,,"$615.30","$535.30","No","No","No","No","No","No",,,
"27326","Neurectomy, popliteal","Professional","Yes",,"No",,,,"$571.45","$535.30","No","No","No","No","No","No",,,
"27327","Exc thigh/knee les sc < 3 cm","Professional","Yes",,"No",,,,"$535.71","$409.91","No","No","No","No","No","No",,,
"27328","Exc thigh/knee tum deep <5cm","Professional","Yes",,"No",,,,"$666.88","$695.59","No","No","No","No","No","No",,,
"27329","Resect thigh/knee tum < 5 cm","Professional","Yes",,"No",,,,"$1,100.54","$695.59","No","No","No","No","No","No",,,
"27330","Biopsy, knee joint lining","Professional","Yes",,"No",,,,"$464.61","$913.93","No","No","No","No","No","No",,,
"27331","Explore/treat knee joint","Professional","Yes",,"No",,,,"$522.82","$913.93","No","No","No","No","No","No",,,
"27332","Removal of knee cartilage","Professional","Yes",,"No",,,,"$702.62","$913.93","No","No","No","No","No","No",,,
"27333","Removal of knee cartilage","Professional","Yes",,"No",,,,"$642.93","$913.93","No","No","No","No","No","No",,,
"27334","Remove knee joint lining","Professional","Yes",,"No",,,,"$744.99","$913.93","No","No","No","No","No","No",,,
"27335","Remove knee joint lining","Professional","Yes",,"No",,,,"$827.52","$2,031.87","No","No","No","No","No","No",,,
"27337","Exc thigh/knee les sc 3 cm/>","Professional","Yes",,"No",,,,"$449.87","$695.59","No","No","No","No","No","No",,,
"27339","Exc thigh/knee tum dep 5cm/>","Professional","Yes",,"No",,,,"$803.94","$695.59","No","No","No","No","No","No",,,
"27340","Removal of kneecap bursa","Professional","Yes",,"No",,,,"$413.76","$913.93","No","No","No","No","No","No",,,
"27345","Removal of knee cyst","Professional","Yes",,"No",,,,"$534.61","$913.93","No","No","No","No","No","No",,,
"27347","Remove knee cyst","Professional","Yes",,"No",,,,"$576.61","$913.93","No","No","No","No","No","No",,,
"27350","Removal of kneecap","Professional","Yes",,"No",,,,"$710.72","$2,031.87","No","No","No","No","No","No",,,
"27355","Remove femur lesion","Professional","Yes",,"No",,,,"$662.83","$913.93","No","No","No","No","No","No",,,
"27356","Remove femur lesion/graft","Professional","Yes",,"No",,,,"$800.62","$4,865.72","No","No","No","No","No","No",,,
"27357","Remove femur lesion/graft","Professional","Yes",,"No",,,,"$880.58","$2,575.32","No","No","No","No","No","No",,,
"27358","Remove femur lesion/fixation","Professional","Yes",,"No",,,,"$284.81","Not Allowed","No","No","No","No","No","No",,,
"27360","Partial removal leg bone(s)","Professional","Yes",,"No",,,,"$970.48","$913.93","No","No","No","No","No","No",,,
"27364","Resect thigh/knee tum 5 cm/>","Professional","Yes",,"No",,,,"$1,649.51","$695.59","No","No","No","No","No","No",,,
"27365","Resect femur/knee tumor","Professional","Yes",,"No",,,,"$2,167.18","Not Allowed","No","No","No","No","No","No",,,
"27369","Njx cntrst kne arthg/ct/mri","Professional","Yes",,"No",,,,"$187.91","Not Allowed","No","No","No","No","No","No",,,
"27372","Removal of foreign body","Professional","Yes",,"No",,,,"$635.56","$695.59","No","No","No","No","No","No",,,
"27380","Repair of kneecap tendon","Professional","Yes",,"No",,,,"$675.72","$2,031.87","No","No","No","No","No","No",,,
"27381","Repair/graft kneecap tendon","Professional","Yes",,"No",,,,"$885.37","$2,580.23","No","No","No","No","No","No",,,
"27385","Repair of thigh muscle","Professional","Yes",,"No",,,,"$660.62","$2,031.87","No","No","No","No","No","No",,,
"27386","Repair/graft of thigh muscle","Professional","Yes",,"No",,,,"$924.05","$2,031.87","No","No","No","No","No","No",,,
"27390","Incision of thigh tendon","Professional","Yes",,"No",,,,"$494.45","$913.93","No","No","No","No","No","No",,,
"27391","Incision of thigh tendons","Professional","Yes",,"No",,,,"$631.14","$913.93","No","No","No","No","No","No",,,
"27392","Incision of thigh tendons","Professional","Yes",,"No",,,,"$772.62","$913.93","No","No","No","No","No","No",,,
"27393","Lengthening of thigh tendon","Professional","Yes",,"No",,,,"$548.24","$2,031.87","No","No","No","No","No","No",,,
"27394","Lengthening of thigh tendons","Professional","Yes",,"No",,,,"$711.09","$2,031.87","No","No","No","No","No","No",,,
"27395","Lengthening of thigh tendons","Professional","Yes",,"No",,,,"$949.84","$913.93","No","No","No","No","No","No",,,
"27396","Transplant of thigh tendon","Professional","Yes",,"No",,,,"$672.41","$2,031.87","No","No","No","No","No","No",,,
"27397","Transplants of thigh tendons","Professional","Yes",,"No",,,,"$986.69","$3,003.25","No","No","No","No","No","No",,,
"27400","Revise thigh muscles/tendons","Professional","Yes",,"No",,,,"$754.57","$2,562.53","No","No","No","No","No","No",,,
"27403","Repair of knee cartilage","Professional","Yes",,"No",,,,"$700.41","$2,627.04","No","No","No","No","No","No",,,
"27405","Repair of knee ligament","Professional","Yes",,"No",,,,"$732.83","$2,031.87","No","No","No","No","No","No",,,
"27407","Repair of knee ligament","Professional","Yes",,"No",,,,"$861.42","$2,891.76","No","No","No","No","No","No",,,
"27409","Repair of knee ligaments","Professional","Yes",,"No",,,,"$1,037.90","$2,031.87","No","No","No","No","No","No",,,
"27412","Autochondrocyte implant knee","Professional","Yes",,"No",,,,"$1,751.20","$2,031.87","No","No","No","No","No","No",,,
"27415","Osteochondral knee allograft","Professional","Yes",,"No",,,,"$1,465.29","$6,367.15","No","No","No","No","No","No",,,
"27416","Osteochondral knee autograft","Professional","Yes",,"No",,,,"$1,050.80","$2,031.87","No","No","No","No","No","No",,,
"27418","Repair degenerated kneecap","Professional","Yes",,"No",,,,"$882.42","$2,031.87","No","No","No","No","No","No",,,
"27420","Revision of unstable kneecap","Professional","Yes",,"No",,,,"$807.26","$2,031.87","No","No","No","No","No","No",,,
"27422","Revision of unstable kneecap","Professional","Yes",,"No",,,,"$803.94","$2,031.87","No","No","No","No","No","No",,,
"27424","Revision/removal of kneecap","Professional","Yes",,"No",,,,"$809.84","$2,031.87","No","No","No","No","No","No",,,
"27425","Lat retinacular release open","Professional","Yes",,"No",,,,"$499.61","$913.93","No","No","No","No","No","No",,,
"27427","Reconstruction knee","Professional","Yes",,"No",,,,"$766.36","$2,764.48","No","No","No","No","No","No",,,
"27428","Reconstruction knee","Professional","Yes",,"No",,,,"$1,201.49","$3,838.94","No","No","No","No","No","No",,,
"27429","Reconstruction knee","Professional","Yes",,"No",,,,"$1,354.39","$5,447.02","No","No","No","No","No","No",,,
"27430","Revision of thigh muscles","Professional","Yes",,"No",,,,"$801.36","$2,031.87","No","No","No","No","No","No",,,
"27435","Incision of knee joint","Professional","Yes",,"No",,,,"$873.21","$913.93","No","No","No","No","No","No",,,
"27437","Revise kneecap","Professional","Yes",,"No",,,,"$716.62","$2,031.87","No","No","No","No","No","No",,,
"27438","Revise kneecap with implant","Professional","Yes",,"No",,,,"$905.63","$4,905.14","No","No","No","No","No","No",,,
"27440","Revision of knee joint","Professional","Yes",,"No",,,,"$860.31","$5,207.21","No","No","No","No","No","No",,,
"27441","Revision of knee joint","Professional","Yes",,"No",,,,"$887.58","$3,838.94","No","No","No","No","No","No",,,
"27442","Revision of knee joint","Professional","Yes",,"No",,,,"$937.32","$5,088.64","No","No","No","No","No","No",,,
"27443","Revision of knee joint","Professional","Yes",,"No",,,,"$879.47","$5,549.70","No","No","No","No","No","No",,,
"27445","Revision of knee joint","Professional","Yes",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"27446","Revision of knee joint","Professional","Yes",,"No",,,,"$1,222.86","$5,256.24","No","No","No","No","No","No",,,
"27447","Total knee arthroplasty","Professional","Yes",,"No",,,,"$1,361.76","$5,356.60","No","No","No","No","No","No",,,
"27448","Incision of thigh","Professional","Yes",,"No",,,,"$891.63","Not Allowed","No","No","No","No","No","No",,,
"27450","Incision of thigh","Professional","Yes",,"No",,,,"$1,078.06","Not Allowed","No","No","No","No","No","No",,,
"27454","Realignment of thigh bone","Professional","Yes",,"No",,,,"$1,378.34","Not Allowed","No","No","No","No","No","No",,,
"27455","Realignment of knee","Professional","Yes",,"No",,,,"$1,030.16","Not Allowed","No","No","No","No","No","No",,,
"27457","Realignment of knee","Professional","Yes",,"No",,,,"$1,021.69","Not Allowed","No","No","No","No","No","No",,,
"27458","Osteot femur imed lngth dev","Professional","Yes",,"No",,,,"$1,818.63","Not Allowed","No","No","No","No","No","No",,,
"27465","Shortening of thigh bone","Professional","Yes",,"No",,,,"$1,328.60","Not Allowed","No","No","No","No","No","No",,,
"27466","Lengthening of thigh bone","Professional","Yes",,"No",,,,"$1,264.86","Not Allowed","No","No","No","No","No","No",,,
"27468","Shorten/lengthen thighs","Professional","Yes",,"No",,,,,"Not Allowed",,"No","No","No",,"No",,,
"27470","Repair of thigh","Professional","Yes",,"No",,,,"$1,260.07","Not Allowed","No","No","No","No","No","No",,,
"27472","Repair/graft of thigh","Professional","Yes",,"No",,,,"$1,347.76","Not Allowed","No","No","No","No","No","No",,,
"27475","Surgery to stop leg growth","Professional","Yes",,"No",,,,"$719.20","$2,031.87","No","No","No","No","No","No",,,
"27477","Surgery to stop leg growth","Professional","Yes",,"No",,,,"$792.52","Not Allowed","No","No","No","No","No","No",,,
"27479","Surgery to stop leg growth","Professional","Yes",,"No",,,,"$985.58","$2,031.87","No","No","No","No","No","No",,,
"27485","Surgery to stop leg growth","Professional","Yes",,"No",,,,"$728.04","Not Allowed","No","No","No","No","No","No",,,
"27486","Revise/replace knee joint","Professional","Yes",,"No",,,,"$1,492.93","Not Allowed","No","No","No","No","No","No",,,
"27487","Revise/replace knee joint","Professional","Yes",,"No",,,,"$1,854.37","Not Allowed","No","No","No","No","No","No",,,
"27488","Removal of knee prosthesis","Professional","Yes",,"No",,,,"$1,281.44","Not Allowed","No","No","No","No","No","No",,,
"27495","Reinforce thigh","Professional","Yes",,"No",,,,"$1,206.65","Not Allowed","No","No","No","No","No","No",,,
"27496","Decompression of thigh/knee","Professional","Yes",,"No",,,,"$601.30","$913.93","No","No","No","No","No","No",,,
"27497","Decompression of thigh/knee","Professional","Yes",,"No",,,,"$630.40","$913.93","No","No","No","No","No","No",,,
"27498","Decompression of thigh/knee","Professional","Yes",,"No",,,,"$714.78","$485.15","No","No","No","No","No","No",,,
"27499","Decompression of thigh/knee","Professional","Yes",,"No",,,,"$760.46","$2,031.87","No","No","No","No","No","No",,,
"27500","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$573.66","$74.62","No","No","No","No","No","No",,,
"27501","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$551.19","$74.62","No","No","No","No","No","No",,,
"27502","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$806.89","$485.15","No","No","No","No","No","No",,,
"27503","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$862.15","$485.15","No","No","No","No","No","No",,,
"27506","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$1,427.34","Not Allowed","No","No","No","No","No","No",,,
"27507","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$1,031.64","Not Allowed","No","No","No","No","No","No",,,
"27508","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$580.30","$74.62","No","No","No","No","No","No",,,
"27509","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$733.94","$2,647.20","No","No","No","No","No","No",,,
"27510","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$732.09","$485.15","No","No","No","No","No","No",,,
"27511","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$1,057.43","Not Allowed","No","No","No","No","No","No",,,
"27513","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$1,306.13","Not Allowed","No","No","No","No","No","No",,,
"27514","Treatment of thigh fracture","Professional","Yes",,"No",,,,"$1,027.58","Not Allowed","No","No","No","No","No","No",,,
"27516","Treat thigh fx growth plate","Professional","Yes",,"No",,,,"$576.61","$74.62","No","No","No","No","No","No",,,
"27517","Treat thigh fx growth plate","Professional","Yes",,"No",,,,"$751.25","$485.15","No","No","No","No","No","No",,,
"27519","Treat thigh fx growth plate","Professional","Yes",,"No",,,,"$948.74","Not Allowed","No","No","No","No","No","No",,,
"27520","Treat kneecap fracture","Professional","Yes",,"No",,,,"$369.55","$74.62","No","No","No","No","No","No",,,
"27524","Treat kneecap fracture","Professional","Yes",,"No",,,,"$813.52","$2,031.87","No","No","No","No","No","No",,,
"27530","Treat knee fracture","Professional","Yes",,"No",,,,"$350.02","$74.62","No","No","No","No","No","No",,,
"27532","Treat knee fracture","Professional","Yes",,"No",,,,"$681.99","$913.93","No","No","No","No","No","No",,,
"27535","Treat knee fracture","Professional","Yes",,"No",,,,"$955.00","Not Allowed","No","No","No","No","No","No",,,
"27536","Treat knee fracture","Professional","Yes",,"No",,,,"$1,268.55","Not Allowed","No","No","No","No","No","No",,,
"27538","Treat knee fracture(s)","Professional","Yes",,"No",,,,"$539.03","$74.62","No","No","No","No","No","No",,,
"27540","Treat knee fracture","Professional","Yes",,"No",,,,"$878.37","Not Allowed","No","No","No","No","No","No",,,
"27550","Treat knee dislocation","Professional","Yes",,"No",,,,"$566.66","$74.62","No","No","No","No","No","No",,,
"27552","Treat knee dislocation","Professional","Yes",,"No",,,,"$691.93","$485.15","No","No","No","No","No","No",,,
"27556","Treat knee dislocation","Professional","Yes",,"No",,,,"$932.90","Not Allowed","No","No","No","No","No","No",,,
"27557","Treat knee dislocation","Professional","Yes",,"No",,,,"$1,108.27","Not Allowed","No","No","No","No","No","No",,,
"27558","Treat knee dislocation","Professional","Yes",,"No",,,,"$1,257.86","Not Allowed","No","No","No","No","No","No",,,
"27560","Treat kneecap dislocation","Professional","Yes",,"No",,,,"$417.81","$74.62","No","No","No","No","No","No",,,
"27562","Treat kneecap dislocation","Professional","Yes",,"No",,,,"$540.87","$74.62","No","No","No","No","No","No",,,
"27566","Treat kneecap dislocation","Professional","Yes",,"No",,,,"$958.69","$2,031.87","No","No","No","No","No","No",,,
"27570","Fixation of knee joint","Professional","Yes",,"No",,,,"$169.11","$485.15","No","No","No","No","No","No",,,
"27580","Fusion of knee","Professional","Yes",,"No",,,,"$1,569.19","Not Allowed","No","No","No","No","No","No",,,
"27590","Amputate leg at thigh","Professional","Yes",,"No",,,,"$806.15","Not Allowed","No","No","No","No","No","No",,,
"27591","Amputate leg at thigh","Professional","Yes",,"No",,,,"$1,032.74","Not Allowed","No","No","No","No","No","No",,,
"27592","Amputate leg at thigh","Professional","Yes",,"No",,,,"$702.25","Not Allowed","No","No","No","No","No","No",,,
"27594","Amputation follow-up surgery","Professional","Yes",,"No",,,,"$535.35","$913.93","No","No","No","No","No","No",,,
"27596","Amputation follow-up surgery","Professional","Yes",,"No",,,,"$742.04","Not Allowed","No","No","No","No","No","No",,,
"27598","Amputate lower leg at knee","Professional","Yes",,"No",,,,"$726.57","Not Allowed","No","No","No","No","No","No",,,
"27599","Unlisted px femur/knee","Professional","Yes",,"No",,,,"$0.00","Not Allowed","No","No","No","No","No","No",,,
"27600","Decompression of lower leg","Professional","Yes",,"No",,,,"$427.02","$913.93","No","No","No","No","No","No",,,
"27601","Decompression of lower leg","Professional","Yes",,"No",,,,"$472.34","$913.93","No","No","No","No","No","No",,,
"27602","Decompression of lower leg","Professional","Yes",,"No",,,,"$494.45","$913.93","No","No","No","No","No","No",,,
"27603","Drain lower leg lesion","Professional","Yes",,"No",,,,"$562.24","$695.59","No","No","No","No","No","No",,,
"27604","Drain lower leg bursa","Professional","Yes",,"No",,,,"$498.13","$913.93","No","No","No","No","No","No",,,
"27605","Incision of achilles tendon","Professional","Yes",,"No",,,,"$355.55","$485.15","No","No","No","No","No","No",,,
"27606","Incision of achilles tendon","Professional","Yes",,"No",,,,"$293.28","$913.93","No","No","No","No","No","No",,,
"27607","Treat lower leg bone lesion","Professional","Yes",,"No",,,,"$644.77","$913.93","No","No","No","No","No","No",,,
"27610","Explore/treat ankle joint","Professional","Yes",,"No",,,,"$698.20","$913.93","No","No","No","No","No","No",,,
"27612","Exploration of ankle joint","Professional","Yes",,"No",,,,"$625.98","$913.93","No","No","No","No","No","No",,,
"27613","Biopsy lower leg soft tissue","Professional","Yes",,"No",,,,"$273.75","$160.12","No","No","No","No","No","No",,,
"27614","Biopsy lower leg soft tissue","Professional","Yes",,"No",,,,"$630.77","$695.59","No","No","No","No","No","No",,,
"27615","Resect leg/ankle tum < 5 cm","Professional","Yes",,"No",,,,"$1,071.80","$695.59","No","No","No","No","No","No",,,
"27616","Resect leg/ankle tum 5 cm/>","Professional","Yes",,"No",,,,"$1,319.02","$695.59","No","No","No","No","No","No",,,
"27618","Exc leg/ankle tum < 3 cm","Professional","Yes",,"No",,,,"$521.71","$409.91","No","No","No","No","No","No",,,
"27619","Exc leg/ankle tum deep <5 cm","Professional","Yes",,"No",,,,"$504.40","$695.59","No","No","No","No","No","No",,,
"27620","Explore/treat ankle joint","Professional","Yes",,"No",,,,"$491.13","$913.93","No","No","No","No","No","No",,,
"27625","Remove ankle joint lining","Professional","Yes",,"No",,,,"$620.09","$913.93","No","No","No","No","No","No",,,
"27626","Remove ankle joint lining","Professional","Yes",,"No",,,,"$664.67","$913.93","No","No","No","No","No","No",,,
"27630","Removal of tendon lesion","Professional","Yes",,"No",,,,"$587.30","$913.93","No","No","No","No","No","No",,,
"27632","Exc leg/ankle les sc 3 cm/>","Professional","Yes",,"No",,,,"$439.55","$695.59","No","No","No","No","No","No",,,
"27634","Exc leg/ankle tum dep 5 cm/>","Professional","Yes",,"No",,,,"$717.36","$695.59","No","No","No","No","No","No",,,
"27635","Remove lower leg bone lesion","Professional","Yes",,"No",,,,"$626.35","$913.93","No","No","No","No","No","No",,,
"27637","Remove/graft leg bone lesion","Professional","Yes",,"No",,,,"$810.94","$2,737.66","No","No","No","No","No","No",,,
"27638","Remove/graft leg bone lesion","Professional","Yes",,"No",,,,"$805.05","$2,031.87","No","No","No","No","No","No",,,
"27640","Partial removal of tibia","Professional","Yes",,"No",,,,"$890.89","$913.93","No","No","No","No","No","No",,,
"27641","Partial removal of fibula","Professional","Yes",,"No",,,,"$710.72","$913.93","No","No","No","No","No","No",,,
"27645","Resect tibia tumor","Professional","Yes",,"No",,,,"$1,870.21","Not Allowed","No","No","No","No","No","No",,,
"27646","Resect fibula tumor","Professional","Yes",,"No",,,,"$1,629.25","Not Allowed","No","No","No","No","No","No",,,
"27647","Resect talus/calcaneus tum","Professional","Yes",,"No",,,,"$1,075.85","$913.93","No","No","No","No","No","No",,,
"27648","Injection for ankle x-ray","Professional","Yes",,"No",,,,"$223.28","Not Allowed","No","No","No","No","No","No",,,
"27650","Repair achilles tendon","Professional","Yes",,"No",,,,"$717.36","$2,031.87","No","No","No","No","No","No",,,
"27652","Repair/graft achilles tendon","Professional","Yes",,"No",,,,"$724.36","$2,678.58","No","No","No","No","No","No",,,
"27654","Repair of achilles tendon","Professional","Yes",,"No",,,,"$780.36","$2,570.06","No","No","No","No","No","No",,,
"27656","Repair leg fascia defect","Professional","Yes",,"No",,,,"$567.77","$913.93","No","No","No","No","No","No",,,
"27658","Repair of leg tendon each","Professional","Yes",,"No",,,,"$406.39","$913.93","No","No","No","No","No","No",,,
"27659","Repair of leg tendon each","Professional","Yes",,"No",,,,"$515.45","$2,031.87","No","No","No","No","No","No",,,
"27664","Repair of leg tendon each","Professional","Yes",,"No",,,,"$391.29","$2,031.87","No","No","No","No","No","No",,,
"27665","Repair of leg tendon each","Professional","Yes",,"No",,,,"$455.76","$2,568.84","No","No","No","No","No","No",,,
"27675","Repair lower leg tendons","Professional","Yes",,"No",,,,"$541.61","$913.93","No","No","No","No","No","No",,,
"27676","Repair lower leg tendons","Professional","Yes",,"No",,,,"$661.72","$2,031.87","No","No","No","No","No","No",,,
"27680","Release of lower leg tendon","Professional","Yes",,"No",,,,"$463.13","$913.93","No","No","No","No","No","No",,,
"27681","Release of lower leg tendons","Professional","Yes",,"No",,,,"$554.51","$913.93","No","No","No","No","No","No",,,
"27685","Revision of lower leg tendon","Professional","Yes",,"No",,,,"$711.83","$913.93","No","No","No","No","No","No",,,
"27686","Revise lower leg tendons","Professional","Yes",,"No",,,,"$577.35","$913.93","No","No","No","No","No","No",,,
"27687","Revision of calf tendon","Professional","Yes",,"No",,,,"$497.03","$913.93","No","No","No","No","No","No",,,
"27690","Revise lower leg tendon","Professional","Yes",,"No",,,,"$697.46","$2,031.87","No","No","No","No","No","No",,,
"27691","Revise lower leg tendon","Professional","Yes",,"No",,,,"$806.52","$2,031.87","No","No","No","No","No","No",,,
"27692","Revise additional leg tendon","Professional","Yes",,"No",,,,"$107.22","Not Allowed","No","No","No","No","No","No",,,
"27695","Repair of ankle ligament","Professional","Yes",,"No",,,,"$530.92","$2,706.63","No","No","No","No","No","No",,,
"27696","Repair of ankle ligaments","Professional","Yes",,"No",,,,"$597.24","$2,610.74","No","No","No","No","No","No",,,
"27698","Repair of ankle ligament","Professional","Yes",,"No",,,,"$691.57","$2,650.70","No","No","No","No","No","No",,,
"27700","Revision of ankle joint","Professional","Yes",,"No",,,,"$768.94","$3,076.88","No","No","No","No","No","No",,,
"27702","Reconstruct ankle joint","Professional","Yes",,"No",,,,"$1,030.90","$8,609.06","No","No","No","No","No","No",,,
"27703","Reconstruction, ankle joint","Professional","Yes",,"No",,,,"$1,190.80","Not Allowed","No","No","No","No","No","No",,,
