"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D5660","Add clasp to partial denture","Dental","Yes",,"$128.27","$145.69","Yes","No","Yes","No","Yes","No","No","Yes, situational","Service authorization is required when more than 4 teeth are being replaced"
"D5710","Dentures rebase cmplt maxil","Dental","Yes",,"$462.59","$435.80","Yes","No","Yes","No","No","No","No","Yes, radiographs are required.  If the request is for replacement, the age of the current denture and reason for replacement are required.","1 unit allowed per 5 years"
"D5711","Dentures rebase cmplt mand","Dental","Yes",,"$462.59","$435.80","Yes","No","Yes","No","No","No","No","Yes, radiographs are required.  If the request is for replacement, the age of the current denture and reason for replacement are required.","1 unit allowed per 5 years"
"D5720","Dentures rebase part maxill","Dental","Yes",,"$325.81","$306.97","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.  If the request is for a replacement, the age of the current partial denture and reason for replacement are required","1 unit allowed per 5 years"
"D5721","Dentures rebase part mandbl","Dental","Yes",,"$325.81","$306.97","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.  If the request is for a replacement, the age of the current partial denture and reason for replacement are required","1 unit allowed per 5 years"
"D5730","Denture reln cmplt max dir","Dental","Yes",,"$308.96","$260.87","Yes","No","Yes","No","No","No","No","No","See policy for specific limits"
"D5731","Denture reln cmplt mand dir","Dental","Yes",,"$308.96","$248.91","Yes","No","Yes","No","No","No","No","No",
"D5740","Denture reln part max dir","Dental","Yes",,"$308.96","$248.91","Yes","No","Yes","No","No","No","No","No",
"D5741","Denture reln part mand dir","Dental","Yes",,"$308.96","$250.34","Yes","No","Yes","No","No","No","No","No",
"D5750","Denture reln cmplt max indir","Dental","Yes",,"$505.46","$362.85","Yes","No","Yes","No","No","No","No","No",
"D5751","Denture reln cmplt mand ind","Dental","Yes",,"$746.13","$373.58","Yes","No","Yes","No","No","No","No","No",
"D5760","Denture reln part max indir","Dental","Yes",,"$413.62","$350.99","Yes","No","Yes","No","No","No","No","No",
"D5761","Denture reln part mand indir","Dental","Yes",,"$413.62","$346.55","Yes","No","Yes","No","No","No","No","No",
"D5765","Liner compl/partial rem dent","Dental","Yes",,"$620.33","$584.70","Yes","No","Yes","No","No","No","No","No",
"D5820","Denture interm part maxill","Dental","Yes",,"$610.34","$481.54","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.  If the request is for a replacement, the age of the current partial denture and reason for replacement are required. Implants must be existing.","1 unit allowed per 5 years"
"D5821","Denture interm part mandbl","Dental","Yes",,"$280.25","$407.63","Yes","No","Yes","No","No","No","No","Yes, radiographs and tooth numbers included in the partial denture are required.  If the request is for a replacement, the age of the current partial denture and reason for replacement are required. Implants must be existing.","1 unit allowed per 5 years"
"D5850","Denture tiss conditn maxill","Dental","Yes",,"$82.60","$86.20","Yes","No","Yes","No","No","No","No","No",
"D5851","Denture tiss condtin mandbl","Dental","Yes",,"$67.74","$77.99","Yes","No","Yes","No","No","No","No","No",
"D5862","Precision attachment","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","No",
"D5876","Add metal sub to acrylc dent","Dental","Yes",,"$98.47","$92.78","Yes","No","Yes","No","No","No","Yes","Yes",
"D5911","Facial moulage sectional","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5912","Facial moulage complete","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5913","Nasal prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5914","Auricular prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5915","Orbital prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5916","Ocular prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5919","Facial prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5922","Nasal septal prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5923","Ocular prosthesis interim","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5924","Cranial prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5925","Facial augmentation implant","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5926","Replacement nasal prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5927","Auricular replacement","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5928","Orbital replacement","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5929","Facial replacement","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5931","Surgical obturator","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5932","Postsurgical obturator","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5933","Refitting of obturator","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5934","Mandibular flange prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5935","Mandibular denture prosth","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5936","Temp obturator prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5937","Trismus appliance","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5951","Feeding aid","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5952","Pediatric speech aid","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5953","Adult speech aid","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5954","Superimposed prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5955","Palatal lift prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5958","Intraoral con def inter plt","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5959","Intraoral con def mod palat","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5960","Modify speech aid prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5982","Surgical stent","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5983","Radiation applicator","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5984","Radiation shield","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5985","Radiation cone locator","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5986","Fluoride applicator","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes, radiographs are required",
"D5987","Commissure splint","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5988","Surgical splint","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D5999","Maxillofacial prosthesis","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D6049","Scale implt peri-implt inflm","Dental","Yes",,"$94.08","$80.41","Yes","Yes","Yes","No","Yes","No","No","Yes",
"D6100","Surg removal of implant body","Dental","Yes",,"$696.47","$656.46","Yes","No","Yes","No","Yes","No","No","Yes, radiographs are required. Implants must be existing.",
"D6210","Prosthodont high noble metal","Dental","Yes","Covered through age 20 only","$752.96","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6211","Bridge base metal cast","Dental","Yes","Covered through age 20 only","$590.84","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6212","Bridge noble metal cast","Dental","Yes","Covered through age 20 only","$590.84","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6240","Bridge porcelain high noble","Dental","Yes","Covered through age 20 only","$942.82","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6241","Bridge porcelain base metal","Dental","Yes","Covered through age 20 only","$692.18","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6242","Bridge porcelain nobel metal","Dental","Yes","Covered through age 20 only","$1,015.39","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6245","Bridge porcelain/ceramic","Dental","Yes","Covered through age 20 only","$958.40","$921.37","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6250","Bridge resin w/high noble","Dental","Yes","Covered through age 20 only","$553.75","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6251","Bridge resin base metal","Dental","Yes","Covered through age 20 only","$553.75","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6252","Bridge resin w/noble metal","Dental","Yes","Covered through age 20 only","$553.75","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6280","Implt maint procd remv implt","Dental","Yes",,"$198.47","$192.70","Yes","Yes","Yes","No","No","No","Yes","Yes",
"D6545","Dental retainr cast metl","Dental","Yes","Covered through age 20 only","$430.44","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6548","Porcelain/ceramic retainer","Dental","Yes","Covered through age 20 only","$607.50","$0.00","No","No","No","No","No","No","No","Yes, radiographs and documentation required",
"D6720","Retain crown resin w hi nble","Dental","Yes","Covered through age 20 only","$526.74","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6721","Crown resin w/base metal","Dental","Yes","Covered through age 20 only","$526.74","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6722","Crown resin w/noble metal","Dental","Yes","Covered through age 20 only","$526.74","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6740","Crown porcelain/ceramic","Dental","Yes","Covered through age 20 only","$785.46","$755.11","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6750","Crown porcelain high noble","Dental","Yes",,"$942.82","$0.00","No","No","No","No","Yes","No","No","No",
"D6751","Crown porcelain base metal","Dental","Yes","Covered through age 20 only","$700.57","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6752","Crown porcelain noble metal","Dental","Yes","Covered through age 20 only","$848.12","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6780","Crown 3/4 high noble metal","Dental","Yes","Covered through age 20 only","$543.73","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6790","Crown full high noble metal","Dental","Yes","Covered through age 20 only","$752.96","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6791","Crown full base metal cast","Dental","Yes","Covered through age 20 only","$675.24","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6792","Crown full noble metal cast","Dental","Yes","Covered through age 20 only","$702.30","$0.00","No","No","No","No","Yes","No","No","Yes, radiographs and documentation required",
"D6930","Dental recement bridge","Dental","Yes",,"$100.00","$82.49","Yes","No","Yes","No","No","No","No","No",
"D7111","Extraction coronal remnants","Dental","Yes",,"$86.16","$69.30","Yes","No","Yes","No","Yes","No","No","No",
"D7140","Extraction erupted tooth/exr","Dental","Yes",,"$97.73","$105.12","Yes","No","Yes","No","Yes","No","No","No",
"D7210","Rem imp tooth w mucoper flp","Dental","Yes",,"$213.13","$214.88","Yes","No","Yes","No","Yes","No","No","No",
"D7220","Impact tooth remov soft tiss","Dental","Yes",,"$255.71","$236.20","Yes","No","Yes","No","Yes","No","No","No",
"D7230","Impact tooth remov part bony","Dental","Yes",,"$323.48","$321.26","Yes","No","Yes","No","Yes","No","No","No",
"D7240","Impact tooth remov comp bony","Dental","Yes",,"$367.20","$367.44","Yes","No","Yes","No","Yes","No","No","No",
"D7241","Impact tooth rem bony w/comp","Dental","Yes",,"$445.00","$401.70","Yes","No","Yes","No","Yes","No","No","No",
"D7250","Tooth root removal","Dental","Yes",,"$212.84","$208.45","Yes","No","Yes","No","Yes","No","No","No",
"D7251","Coronectomy","Dental","Yes",,"$412.44","$403.92","Yes","No","Yes","No","Yes","No","No","Yes, radiographs are required",
"D7260","Oral antral fistula closure","Dental","Yes",,"$807.37","$760.60","Yes","No","Yes","No","No","No","No","No",
"D7261","Primary closure sinus perf","Dental","Yes",,"$0.00","$1,035.56","Yes","No","Yes","No","No","No","No","No",
"D7270","Tooth reimplantation","Dental","Yes",,"$617.68","$327.28","Yes","No","Yes","No","Yes","No","No","No",
"D7280","Exposure impact tooth orthod","Dental","Yes",,"$389.99","$317.02","Yes","No","Yes","No","Yes","No","No","No",
"D7283","Place device impacted tooth","Dental","Yes",,"$153.63","$155.08","Yes","No","Yes","No","Yes","No","No","No",
"D7285","Biopsy of oral tissue hard","Dental","Yes",,"$384.98","$313.59","Yes","No","Yes","No","No","No","No","No",
"D7286","Biopsy of oral tissue soft","Dental","Yes",,"$384.98","$282.91","Yes","No","Yes","No","No","No","No","No",
"D7290","Repositioning of teeth","Dental","Yes",,"$198.22","$186.53","Yes","No","Yes","No","Yes","No","No","No",
"D7291","Transseptal fiberotomy","Dental","Yes",,"$140.58","$141.94","Yes","No","Yes","No","No","No","No","No",
"D7296","Corticotomy, 1-3 teeth","Dental","Yes",,"$110.61","$104.20","Yes","No","Yes","No","No","No","Yes","No",
"D7297","Corticotomy, 4 or more teeth","Dental","Yes",,"$355.07","$334.49","Yes","No","Yes","No","No","No","Yes","No",
"D7298","Remove screw retained plate","Dental","Yes","Covered through age 20 only","$0.00","$0.00","No","No","No","No","No","No","Yes","Yes",
"D7299","Rem anchorage device w/flap","Dental","Yes","Covered through age 20 only","$0.00","$0.00","No","No","No","No","No","No","Yes","Yes",
"D7300","Rem anchorage dev w/o flap","Dental","Yes","Covered through age 20 only","$0.00","$0.00","No","No","No","No","No","No","Yes","Yes",
"D7310","Alveoplasty w/ extraction","Dental","Yes",,"$217.40","$221.42","Yes","No","Yes","No","No","No","Yes","No",
"D7311","Alveoloplasty w/extract 1-3","Dental","Yes",,"$210.76","$192.06","Yes","No","Yes","No","No","No","Yes","No",
"D7320","Alveoplasty w/o extraction","Dental","Yes",,"$0.00","$242.29","Yes","No","Yes","No","No","No","Yes","No",
"D7321","Alveoloplasty not w/extracts","Dental","Yes",,"$210.76","$170.18","Yes","No","Yes","No","No","No","Yes","No",
"D7340","Vestibuloplasty ridge extens","Dental","Yes",,"$422.04","$426.08","Yes","No","Yes","No","No","No","No","No",
"D7350","Vestibuloplasty exten graft","Dental","Yes",,"$422.04","$426.08","Yes","No","Yes","No","No","No","No","No",
"D7410","Rad exc lesion up to 1.25 cm","Dental","Yes",,"$374.43","$290.06","Yes","No","Yes","No","No","No","No","No",
"D7411","Excision benign lesion>1.25c","Dental","Yes",,"$675.24","$543.75","Yes","No","Yes","No","No","No","No","No",
"D7412","Excision benign lesion compl","Dental","Yes",,"$464.27","$437.38","Yes","No","Yes","No","No","No","No","Yes",
"D7413","Excision malig lesion<=1.25c","Dental","Yes",,"$374.43","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7414","Excision malig lesion>1.25cm","Dental","Yes",,"$675.24","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7415","Excision malig les complicat","Dental","Yes",,"$464.27","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7440","Malig tumor exc to 1.25 cm","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","No",
"D7441","Malig tumor > 1.25 cm","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","No",
"D7450","Rem odontogen cyst to 1.25cm","Dental","Yes",,"$778.66","$152.50","Yes","No","Yes","No","No","No","Yes","No",
"D7451","Rem odontogen cyst > 1.25 cm","Dental","Yes",,"$786.80","$733.71","Yes","No","Yes","No","No","No","No","No",
"D7460","Rem nonodonto cyst to 1.25cm","Dental","Yes",,"$87.79","$88.62","Yes","No","Yes","No","No","No","No","No",
"D7461","Rem nonodonto cyst > 1.25 cm","Dental","Yes",,"$131.72","$133.01","Yes","No","Yes","No","No","No","No","No",
"D7465","Lesion destruction","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7471","Rem exostosis any site","Dental","Yes",,"$210.76","$500.55","Yes","No","Yes","No","No","No","No","No",
"D7472","Removal of torus palatinus","Dental","Yes",,"$748.58","$705.20","Yes","No","Yes","No","No","No","No","No",
"D7473","Remove torus mandibularis","Dental","Yes",,"$685.57","$645.85","Yes","No","Yes","No","No","No","Yes","No",
"D7485","Surg reduct osseoustuberosit","Dental","Yes",,"$796.31","$750.17","Yes","No","Yes","No","No","No","Yes","Yes, radiographs are required",
"D7490","Maxilla or mandible resectio","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7510","I&d absc intraoral soft tiss","Dental","Yes",,"$180.43","$162.75","Yes","No","Yes","No","Yes","No","No","No",
"D7511","Incision/drain abscess intra","Dental","Yes",,"$109.85","$133.16","Yes","No","Yes","No","Yes","No","No","No",
"D7520","I&d abscess extraoral","Dental","Yes",,"$371.29","$334.90","Yes","No","Yes","No","Yes","No","No","No",
"D7521","Incision/drain abscess extra","Dental","Yes",,"$478.58","$409.34","Yes","No","Yes","No","Yes","No","No","No",
"D7530","Removal fb skin/areolar tiss","Dental","Yes",,"$98.37","$255.45","Yes","No","Yes","No","No","No","No","No",
"D7540","Removal of fb reaction","Dental","Yes",,"$235.79","$222.14","Yes","No","Yes","No","No","No","No","Yes, radiographs are required",
"D7550","Removal of sloughed off bone","Dental","Yes",,"$349.31","$329.07","Yes","No","Yes","No","No","No","Yes","Yes, radiographs are required",
"D7560","Maxillary sinusotomy","Dental","Yes",,"$456.73","$430.26","Yes","No","Yes","No","No","No","No","Yes, radiographs are required",
"D7610","Maxilla open reduct simple","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7620","Clsd reduct simpl maxilla fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7630","Open red simpl mandible fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7640","Clsd red simpl mandible fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7650","Open red simp malar/zygom fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7660","Clsd red simp malar/zygom fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7670","Closd rductn splint alveolus","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7671","Alveolus open reduction","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7680","Reduct simple facial bone fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7710","Maxilla open reduct compound","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7720","Clsd reduct compd maxilla fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7730","Open reduct compd mandble fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7740","Clsd reduct compd mandble fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7750","Open red comp malar/zygma fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7760","Clsd red comp malar/zygma fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7770","Open reduc compd alveolus fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7771","Alveolus clsd reduc stblz te","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7780","Reduct compnd facial bone fx","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","Yes",
"D7810","Tmj open reduct-dislocation","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7820","Closed tmp manipulation","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7830","Tmj manipulation under anest","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7840","Removal of tmj condyle","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7850","Tmj meniscectomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7852","Tmj repair of joint disc","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7854","Tmj excisn of joint membrane","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7856","Tmj cutting of a muscle","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7858","Tmj reconstruction","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7860","Tmj cutting into joint","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7865","Tmj reshaping components","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7870","Tmj aspiration joint fluid","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7871","Lysis + lavage w catheters","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7872","Tmj diagnostic arthroscopy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7873","Tmj arthroscopy lysis adhesn","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7874","Tmj arthroscopy disc reposit","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7875","Tmj arthroscopy synovectomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7876","Tmj arthroscopy discectomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7877","Tmj arthroscopy debridement","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7880","Occlusal orthotic appliance","Dental","Yes",,"$412.25","$402.68","Yes","No","Yes","No","No","No","No","No","Service authorization is required for more than 1 each calendar year"
"D7899","Tmj unspecified therapy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7910","Dent sutur recent wnd to 5cm","Dental","Yes","This code is not separately payable. It is included in the extractions.","$57.07","$123.42","No","No","No","No","No","No","No","No",
"D7911","Dental suture wound to 5 cm","Dental","Yes","This code is not separately payable. It is included in the extractions.","$43.92","$44.36","No","No","No","No","No","No","No","No",
"D7912","Suture complicate wnd > 5 cm","Dental","Yes","This code is not separately payable. It is included in the extractions.","$43.92","$44.36","No","No","No","No","No","No","No","No",
"D7920","Dental skin graft","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7922","Place intra-socket bio dress","Dental","Yes",,"$52.04","$49.05","Yes","No","Yes","No","Yes","No","No","No",
"D7940","Reshaping bone orthognathic","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7941","Bone cutting ramus closed","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7943","Cutting ramus open w/graft","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7944","Bone cutting segmented","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7945","Bone cutting body mandible","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7946","Reconstruction maxilla total","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7947","Reconstruct maxilla segment","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7948","Reconstruct midface no graft","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7949","Reconstruct midface w/graft","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7950","Mandible graft","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7953","Bone replacement graft","Dental","Yes","Covered for ages 21 and over","$0.00","$167.49","Yes","No","Yes","No","No","No","No","Yes",
"D7955","Repair maxillofacial defects","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7961","Buccal/labial frenectomy","Dental","Yes",,"$427.53","$365.66","Yes","No","Yes","No","No","No","No","Yes, required for age 2 and older. Photographs and documentation are required.",
"D7962","Lingual frenectomy","Dental","Yes",,"$427.53","$365.66","Yes","No","Yes","No","No","No","No","Yes, required for age 2 and older. Photographs and documentation are required.",
"D7963","Frenuloplasty","Dental","Yes",,"$585.11","$618.05","Yes","No","Yes","No","No","No","No","Yes, photographs and documentation are required.",
"D7970","Excision hyperplastic tissue","Dental","Yes",,"$387.74","$365.29","Yes","No","Yes","No","No","No","No","Yes",
"D7971","Excision pericoronal gingiva","Dental","Yes",,"$188.52","$177.58","Yes","No","Yes","No","Yes","No","No","Yes",
"D7972","Surg redct fibrous tuberosit","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7980","Sialolithotomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7981","Excision of salivary gland","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7982","Sialodochoplasty","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7983","Closure of salivary fistula","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7990","Emergency tracheotomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7991","Dental coronoidectomy","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7996","Implant mandible for augment","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7997","Appliance removal","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D7999","Oral surgery procedure","Dental","Yes",,"$0.00","$0.00","Yes","No","Yes","No","No","No","No","Yes",
"D8020","Limited dental tx transition","Dental","Yes","Covered through age 20 only","$1,440.31","$0.00","Yes","No","Yes","No","No","No","No","Yes, submit SFN 61, radiographs and photographs",
"D8030","Limited dental tx adolescent","Dental","Yes","Covered through age 20 only","$1,440.31","$0.00","Yes","No","Yes","No","No","No","No","Yes, submit SFN 61, radiographs and photographs",
"D8040","Limited dental tx adult","Dental","Yes",,"$0.00","$0.00","No","No","No","No","No","No","No","No",
"D8070","Compre dental tx transition","Dental","Yes","Covered through age 20 only","$2,810.75","$0.00","Yes","No","Yes","No","No","No","No","Yes, submit SFN 61, radiographs and photographs. This service is considered only when a child is in the middle of treatment/orthodontic transfer.",
