"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,
"ND Medicaid Dental Services Fee Schedule",,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Child Rate","Adult Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS Tribal Generate Encounter","ORP Provider NPI Required","Tooth Number","Tooth Surface","Tooth Quadrant","Service Authorization Required","General Notes"
"D1208","Topical app of fluoride-ex. Varnish","Dental","Yes",,"$30.63","$24.46","No","No","No","No","No","No","No","No","3 units allowed each calendar year (D1206, D1208)"
"D1351","Dental sealant per tooth","Dental","Yes","Covered through age 20 only","$35.83","$33.75","No","No","No","No","Yes","No","No","No",
"D1353","Sealant repair ","Dental","Yes","Covered through age 20 only","$45.36","$0.00","No","No","No","No","Yes","No","No","No",
"D1354","Int caries med app per tooth","Dental","Yes",,"$14.26","$13.42","No","No","No","No","Yes","No","No","No","See policy for specific limits"
"D1355","Caries med app per tooth","Dental","Yes",,"$14.26","$13.42","No","No","No","No","Yes","No","No","No",
"D1510","Space maintainer fxd unilat","Dental","Yes","Covered through age 20 only","$245.14","$0.00","No","No","No","No","No","No","Yes","No",
"D1516","Fixed bilat space maint, max","Dental","Yes","Covered through age 20 only","$362.13","$0.00","No","No","No","No","No","No","No","No",
"D1517","Fixed bilat space maint, man","Dental","Yes","Covered through age 20 only","$362.13","$0.00","No","No","No","No","No","No","No","No",
"D1520","Remove unilat space maintain","Dental","Yes","Covered through age 20 only","$70.30","$0.00","No","No","No","No","No","No","Yes","No",
"D1526","Remove bilat space main, max","Dental","Yes","Covered through age 20 only","$219.62","$0.00","No","No","No","No","No","No","No","No",
"D1527","Remove bilat space main, man","Dental","Yes","Covered through age 20 only","$219.62","$0.00","No","No","No","No","No","No","No","No",
"D1551","Recement space maint - max","Dental","Yes","Covered through age 20 only","$57.75","$0.00","No","No","No","No","No","No","No","No",
"D1552","Recement space maint - man","Dental","Yes","Covered through age 20 only","$57.75","$0.00","No","No","No","No","No","No","No","No",
"D1553","Recement unilat space maint","Dental","Yes","Covered through age 20 only","$57.75","$0.00","No","No","No","No","No","No","Yes","No",
"D1556","Rem fixed unilat space maint","Dental","Yes","Covered through age 20 only","$53.27","$0.00","No","No","No","No","No","No","Yes","No",
"D1557","Remove fixed bilat maint max","Dental","Yes","Covered through age 20 only","$53.27","$0.00","No","No","No","No","No","No","No","No",
"D1558","Remove fixed bilat man","Dental","Yes","Covered through age 20 only","$53.27","$0.00","No","No","No","No","No","No","No","No",
"D1575","Dist space maint, fixed unil","Dental","Yes","Covered through age 20 only","$160.75","$0.00","No","No","No","No","Yes","No","No","No",
"D2140","Amalgam one surface permanen","Dental","Yes",,"$89.67","$87.54","Yes","No","Yes","No","Yes","Yes","No","No",
"D2150","Amalgam two surfaces permane","Dental","Yes",,"$108.77","$110.25","Yes","No","Yes","No","Yes","Yes","No","No",
"D2160","Amalgam three surfaces perma","Dental","Yes",,"$134.35","$132.59","Yes","No","Yes","No","Yes","Yes","No","No",
"D2161","Amalgam 4 or > surfaces perm","Dental","Yes",,"$174.94","$160.09","Yes","No","Yes","No","Yes","Yes","No","No",
"D2330","Resin one surface-anterior","Dental","Yes",,"$110.45","$102.15","Yes","No","Yes","No","Yes","Yes","No","No",
"D2331","Resin two surfaces-anterior","Dental","Yes",,"$133.12","$130.58","Yes","No","Yes","No","Yes","Yes","No","No",
"D2332","Resin three surfaces-anterio","Dental","Yes",,"$163.80","$156.02","Yes","No","Yes","No","Yes","Yes","No","No",
"D2335","Resin 4/> surf or w incis an","Dental","Yes",,"$199.10","$187.39","Yes","No","Yes","No","Yes","Yes","No","No",
"D2390","Ant resin-based cmpst crown","Dental","Yes","Covered through age 20 only","$298.56","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D2391","Post 1 srfc resinbased cmpst","Dental","Yes",,"$110.05","$118.31","Yes","No","Yes","No","Yes","Yes","No","No",
"D2392","Post 2 srfc resinbased cmpst","Dental","Yes",,"$137.07","$150.75","Yes","No","Yes","No","Yes","Yes","No","No",
"D2393","Post 3 srfc resinbased cmpst","Dental","Yes",,"$183.89","$184.83","Yes","No","Yes","No","Yes","Yes","No","No",
"D2394","Post >=4srfc resinbase cmpst","Dental","Yes",,"$223.84","$220.63","Yes","No","Yes","No","Yes","Yes","No","No",
"D2710","Crown resin-based indirect","Dental","Yes",,"$492.99","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2720","Crown resin w/ high noble me","Dental","Yes",,"$813.64","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2721","Crown resin w/ base metal","Dental","Yes",,"$813.64","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2722","Crown resin w/ noble metal","Dental","Yes",,"$813.64","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2740","Crown porcelain/ceramic subs","Dental","Yes",,"$903.65","$751.62","Yes","No","Yes","No","Yes","No","No","Yes",
"D2750","Crown porcelain w/ h noble m","Dental","Yes",,"$848.99","$806.61","Yes","No","Yes","No","Yes","No","No","Yes",
"D2751","Crown porcelain fused base m","Dental","Yes",,"$748.58","$657.93","Yes","No","Yes","No","Yes","No","No","Yes",
"D2752","Crown porcelain w/ noble met","Dental","Yes",,"$810.29","$744.55","Yes","No","Yes","No","Yes","No","No","Yes",
"D2780","Crown 3/4 cast hi noble met","Dental","Yes",,"$903.65","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2790","Crown full cast high noble m","Dental","Yes",,"$988.26","$751.62","Yes","No","Yes","No","Yes","No","No","Yes",
"D2791","Crown full cast base metal","Dental","Yes",,"$631.42","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2792","Crown full cast noble metal","Dental","Yes",,"$864.37","$0.00","Yes","No","Yes","No","Yes","No","No","Yes",
"D2910","Recement/rebond inlay onlay or part","Dental","Yes",,"$67.74","$81.53","Yes","No","Yes","No","Yes","No","No","No",
"D2920","Recement/rebond crown","Dental","Yes",,"$73.40","$70.27","Yes","No","Yes","No","Yes","No","No","No",
"D2921","Reattach tooth fragment","Dental","Yes","Covered through age 20 only","$98.31","$0.00","Yes","No","Yes","No","No","No","No","No",
"D2928","Prefab porc/cer crown perm","Dental","Yes",,"$261.35","$262.81","Yes","No","Yes","No","Yes","No","No","Yes, radiographs and documentation are required. Service authorization is required for ages 21 and older.",
"D2930","Prefab stnlss steel crwn pri","Dental","Yes",,"$182.75","$181.82","Yes","No","Yes","No","Yes","No","No","No",
"D2931","Prefab stnlss steel crown pe","Dental","Yes",,"$227.27","$228.54","Yes","No","Yes","No","Yes","No","No","No",
"D2932","Prefabricated resin crown","Dental","Yes",,"$344.88","$338.65","Yes","No","Yes","No","Yes","No","No","Yes, radiographs and documentation are required. Service authorization is required for ages 21 and older.",
"D2933","Prefab stainless steel crown","Dental","Yes",,"$221.94","$217.93","Yes","No","Yes","No","Yes","No","No","No",
"D2934","Prefab steel crown primary","Dental","Yes","Covered through age 20 only","$221.94","$0.00","Yes","No","Yes","No","Yes","No","No","No",
"D2940","Place direct restoration","Dental","Yes",,"$85.23","$72.78","Yes","No","Yes","No","Yes","No","No","No",
"D2950","Core build-up incl any pins","Dental","Yes",,"$200.05","$199.24","Yes","No","Yes","No","Yes","No","No","No",
