"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A4259","Lancets per box","DME-Purchase","Yes","Covered on Medicare primary claims only",,,"$20.97","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4261","Cervical cap contraceptive","DME-Purchase","Yes",,,,"$49.99","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every year"
"A4266","Diaphragm","DME-Purchase","Yes",,,,"$36.44","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every year"
"A4267","Male condom","DME-Purchase","Yes",,,,"$0.45","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","30 units allowed every month"
"A4268","Female condom","DME-Purchase","Yes",,,,"$4.31","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","30 units allowed every month"
"A4271","Home lancing/test cartridges","DME-Purchase","Yes","Covered on Medicaid secondary medical claims only. Primary Medicaid claims must be billed through Pharmacy POS.",,,"$33.43","No","No","No","Yes","No","No","No","No",
"A4288","Replacement breastpump valve","DME-Purchase","Yes",,,,"$0.00","No","No","No","Yes","No","No","No","Yes","1 unit allowed every 2 years, invoice is required."
"A4295","Straigh tip hydrophilic cath","DME-Purchase","Yes",,,,"$2.42","No","No","No","Yes","Yes","Yes","Yes","No",
"A4296","Coude tip hydrophilic cath","DME-Purchase","Yes",,,,"$8.59","No","No","No","Yes","Yes","Yes","Yes","No",
"A4297","Hydrophilic coat insert sup","DME-Purchase","Yes",,,,"$11.03","No","No","No","Yes","Yes","Yes","Yes","No",
"A4310","Insert tray w/o bag/cath","DME-Purchase","Yes",,,,"$13.29","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4311","Catheter w/o bag 2-way latex","DME-Purchase","Yes",,,,"$25.86","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4312","Cath w/o bag 2-way silicone","DME-Purchase","Yes",,,,"$29.93","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4313","Catheter w/bag 3-way","DME-Purchase","Yes",,,,"$29.31","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4314","Cath w/drainage 2-way latex","DME-Purchase","Yes",,,,"$43.06","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4315","Cath w/drainage 2-way silcne","DME-Purchase","Yes",,,,"$40.99","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4316","Cath w/drainage 3-way","DME-Purchase","Yes",,,,"$43.63","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4320","Irrigation tray","DME-Purchase","Yes",,,,"$8.99","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","3 units allowed every month"
"A4322","Irrigation syringe","DME-Purchase","Yes",,,,"$5.17","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4326","Male external catheter","DME-Purchase","Yes",,,,"$16.20","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4327","Fem urinary collect dev cup","DME-Purchase","Yes",,,,"$74.03","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4328","Fem urinary collect pouch","DME-Purchase","Yes",,,,"$17.22","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","12 units allowed every month"
"A4330","Stool collection pouch","DME-Purchase","Yes",,,,"$11.82","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4331","Extension drainage tubing","DME-Purchase","Yes",,,,"$5.39","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4332","Lube sterile packet","DME-Purchase","Yes",,,,"$0.11","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","180 units allowed every month"
"A4333","Urinary cath anchor device","DME-Purchase","Yes",,,,"$3.65","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","15 units allowed every month"
"A4334","Urinary cath leg strap","DME-Purchase","Yes",,,,"$8.20","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4338","Indwelling catheter latex","DME-Purchase","Yes",,,,"$20.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4340","Indwelling catheter special","DME-Purchase","Yes",,,,"$49.97","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4344","Cath indw foley 2 way silicn","DME-Purchase","Yes",,,,"$26.03","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4346","Cath indw foley 3 way","DME-Purchase","Yes",,,,"$32.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4349","Disposable male external cat","DME-Purchase","Yes",,,,"$3.06","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4351","Straight tip urine catheter","DME-Purchase","Yes",,,,"$2.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","180 units allowed every month"
"A4352","Coude tip urinary catheter","DME-Purchase","Yes",,,,"$9.40","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","180 units allowed every month"
"A4353","Intermittent urinary cath","DME-Purchase","Yes",,,,"$11.60","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","180 units allowed every month"
"A4354","Cath insertion tray w/bag","DME-Purchase","Yes",,,,"$18.96","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4355","Bladder irrigation tubing","DME-Purchase","Yes",,,,"$14.27","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","3 units allowed every month"
"A4356","Ext ureth clmp or compr dvc","DME-Purchase","Yes",,,,"$75.83","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 months"
"A4357","Bedside drainage bag","DME-Purchase","Yes",,,,"$14.32","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4358","Urinary leg or abdomen bag","DME-Purchase","Yes",,,,"$10.88","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4361","Ostomy face plate","DME-Purchase","Yes",,,,"$28.77","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","3 units allowed every 6 months"
"A4362","Solid skin barrier","DME-Purchase","Yes",,,,"$5.99","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4363","Ostomy clamp, replacement","DME-Purchase","Yes",,,,"$3.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A4364","Adhesive, liquid or equal","DME-Purchase","Yes",,,,"$4.93","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","4 units allowed every month"
"A4366","Ostomy vent","DME-Purchase","Yes",,,,"$2.20","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","20 units allowed every month"
"A4367","Ostomy belt","DME-Purchase","Yes",,,,"$12.22","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A4368","Ostomy filter","DME-Purchase","Yes",,,,"$0.44","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","31 units allowed every month"
"A4369","Skin barrier liquid per oz","DME-Purchase","Yes",,,,"$3.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
