"North Dakota Department of Health and Human Services",,,,,,,,,,,,,,,,
"ND Medicaid Durable Medical Equipment Services Fee Schedule",,,,,,,,,,,,,,,,
"Inclusion or exclusion of a procedure code, supply, product, or service does not imply Medicaid coverage, reimbursement, or lack thereof.",,,,,,,,,,,,,,,,
"Data Updated as of 02/08/2026",,,,,,,,,,,,,,,,
"Code","Short Description","Category","Covered","Coverage Notes","Modifier Required","Rental Rate","General Rate","FQHC Generate Encounter","RHC Generate Encounter","IHS/Tribal Generate Encounter","ORP Provider NPI Required","DME ICF Responsibility","DME NF Responsibility","DME SB Responsibility","Service Authorization Required","General Notes"
"A7520","Trach/laryn tube non-cuffed","DME-Purchase","Yes",,,,"$81.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A7521","Trach/laryn tube cuffed","DME-Purchase","Yes",,,,"$81.08","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every month"
"A7522","Trach/laryn tube stainless","DME-Purchase","Yes",,,,"$77.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A7525","Tracheostomy mask","DME-Purchase","Yes",,,,"$3.58","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"A7526","Tracheostomy tube collar","DME-Purchase","Yes",,,,"$5.83","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","15 units allowed every month"
"A7527","Trach/laryn tube plug/stop","DME-Purchase","Yes",,,,"$4.65","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 months"
"A8000","Soft protect helmet prefab","DME-Purchase","Yes",,,,"$251.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every year"
"A8001","Hard protect helmet prefab","DME-Purchase","Yes",,,,"$251.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every year"
"A9276","Disposable sensor, cgm sys","DME-Purchase","Yes","Covered on Medicaid secondary medical claims only. Primary Medicaid claims must be billed through Pharmacy POS.",,,"$12.48","No","No","No","Yes","No","No","No","No",
"A9277","External transmitter, cgm","DME-Purchase","Yes","Covered on Medicaid secondary medical claims only. Primary Medicaid claims must be billed through Pharmacy POS.",,,"$257.65","No","No","No","Yes","No","No","No","No",
"B4034","Enter feed supkit syr by day","DME-Purchase","Yes",,,,"$10.35","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","31 units allowed every month"
"B4035","Enteral feed supp pump per d","DME-Purchase","Yes",,,,"$22.64","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","31 units allowed every month"
"B4036","Enteral feed sup kit grav by","DME-Purchase","Yes",,,,"$15.51","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","31 units allowed every month"
"B4081","Enteral ng tubing w/ stylet","DME-Purchase","Yes",,,,"$38.36","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"B4082","Enteral ng tubing w/o stylet","DME-Purchase","Yes",,,,"$26.82","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every month"
"B4083","Enteral stomach tube levine","DME-Purchase","Yes",,,,"$3.93","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","4 units allowed every month"
"B4087","Gastro/jejuno tube, std","DME-Purchase","Yes",,,,"$49.01","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 months"
"B4088","Gastro/jejuno tube, low-pro","DME-Purchase","Yes",,,,"$49.01","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 months"
"B4100","Food thickener oral","DME-Purchase","Yes",,,,"$2.39","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","96 units allowed every month"
"B4149","EF blenderized foods","DME-Purchase","Yes",,,,"$2.14","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4150","EF complet w/intact nutrient","DME-Purchase","Yes",,,,"$1.17","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4152","EF calorie dense>/=1.5Kcal","DME-Purchase","Yes",,,,"$0.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4153","EF hydrolyzed/amino acids","DME-Purchase","Yes",,,,"$3.23","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4154","EF spec metabolic noninherit","DME-Purchase","Yes",,,,"$2.05","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4155","EF incomplete/modular","DME-Purchase","Yes",,,,"$1.61","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4158","EF ped complete intact nut","DME-Purchase","Yes",,,,"$1.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4159","EF ped complete soy based","DME-Purchase","Yes",,,,"$1.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4160","EF ped caloric dense>/=0.7kc","DME-Purchase","Yes",,,,"$1.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4161","EF ped hydrolyzed/amino acid","DME-Purchase","Yes",,,,"$3.28","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase",
"B4164","Parenteral 50% dextrose solu","DME-Purchase","Yes",,,,"$29.37","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4168","Parenteral sol amino acid 3.","DME-Purchase","Yes",,,,"$41.60","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4172","Parenteral sol amino acid 5.","DME-Purchase","Yes",,,,"$61.07","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4176","Parenteral sol amino acid 7-","DME-Purchase","Yes",,,,"$80.55","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4178","Parenteral sol amino acid >","DME-Purchase","Yes",,,,"$96.69","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4180","Parenteral sol carb > 50%","DME-Purchase","Yes",,,,"$40.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4185","Pn soln nos 10 grams lipids","DME-Purchase","Yes",,,,"$16.78","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4187","Omegaven, 10 grams lipids","DME-Purchase","Yes",,,,"$16.78","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4189","Parenteral sol amino acid &","DME-Purchase","Yes",,,,"$298.66","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4193","Parenteral sol 52-73 gm prot","DME-Purchase","Yes",,,,"$385.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4197","Parenteral sol 74-100 gm pro","DME-Purchase","Yes",,,,"$469.81","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4199","Parenteral sol > 100gm prote","DME-Purchase","Yes",,,,"$536.87","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4216","Parenteral nutrition additiv","DME-Purchase","Yes",,,,"$12.98","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4220","Parenteral supply kit premix","DME-Purchase","Yes",,,,"$13.45","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4222","Parenteral supply kit homemi","DME-Purchase","Yes",,,,"$16.62","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B4224","Parenteral administration ki","DME-Purchase","Yes",,,,"$42.04","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B5000","Parenteral sol renal-amirosy","DME-Purchase","Yes",,,,"$15.70","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B5100","Parenteral sol hepatic-fream","DME-Purchase","Yes",,,,"$7.79","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B5200","Parenteral sol hepatic fream","DME-Purchase","Yes",,,,"$8.16","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No",
"B9002","Enteral infusion pump w/ ala","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$180.83","$2,117.18","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"B9004","Parenteral infus pump portab","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$307.56","$3,690.78","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"B9006","Parenteral infus pump statio","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$307.56","$3,690.78","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"B9998","Enteral supp not otherwise c","DME-Purchase","Yes",,,,"$0.00","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","Limit varies, invoice is required"
"B9999","Parenteral supp not othrws c","DME-Purchase","Yes",,,,"$0.00","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","Limit varies, invoice is required"
"E0100","Cane adjust/fixed with tip","DME-Purchase","Yes",,,,"$25.53","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0105","Cane adjust/fixed quad/3 pro","DME-Purchase","Yes",,,,"$65.95","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0110","Crutch forearm pair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$10.30","$110.58","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0111","Crutch forearm each","DME-Purchase","Yes",,,,"$70.28","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0112","Crutch underarm pair wood","DME-Purchase","Yes",,,,"$51.47","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0113","Crutch underarm each wood","DME-Purchase","Yes",,,,"$30.13","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0114","Crutch underarm pair no wood","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$6.57","$67.26","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0116","Crutch underarm each no wood","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$3.50","$39.55","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0117","Underarm springassist crutch","DME-Purchase","Yes",,,,"$274.50","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0130","Walker rigid adjust/fixed ht","DME-Purchase","Yes",,,,"$56.84","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0135","Walker folding adjust/fixed","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$5.68","$56.84","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0140","Walker w trunk support","DME-Purchase","Yes",,,,"$364.60","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0141","Rigid wheeled walker adj/fix","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$5.95","$59.54","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0143","Walker folding wheeled w/o s","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$5.95","$59.54","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0144","Enclosed walker w rear seat","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$34.36","$343.60","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0147","Walker variable wheel resist","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$52.03","$520.22","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0148","Heavyduty walker no wheels","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$10.64","$106.37","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0149","Heavy duty wheeled walker","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$15.48","$154.80","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0153","Forearm crutch platform atta","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$8.89","$106.46","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","2 units allowed every 2 years for purchase, 1 unit every month for rental"
"E0154","Walker platform attachment","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$9.61","$117.48","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","2 units allowed every 2 years for purchase, 1 unit every month for rental"
"E0155","Walker wheel attachment,pair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$4.10","$50.64","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0156","Walker seat attachment","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$3.03","$37.39","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0157","Walker crutch attachment","DME-Purchase","Yes",,,,"$132.03","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every year"
"E0158","Walker leg extenders set of4","DME-Purchase","Yes",,,,"$48.22","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0159","Brake for wheeled walker","DME-Purchase","Yes",,,,"$29.65","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every 2 years"
"E0160","Sitz type bath or equipment","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$3.69","$36.94","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every year for purchase, 1 unit allowed every month for rental"
"E0161","Sitz bath/equipment w/faucet","DME-Purchase","Yes",,,,"$31.29","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0162","Sitz bath chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$21.80","$207.65","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0163","Commode chair with fixed arm","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$6.81","$68.07","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0165","Commode chair with detacharm","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$15.82","$158.20","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","No","1 unit allowed every 7 years for purchase, 1 unit allowed every month for rental"
"E0167","Commode chair pail or pan","DME-Purchase","Yes",,,,"$13.22","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 7 years"
"E0168","Heavyduty/wide commode chair","DME-Purchase","Yes",,,,"$140.13","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","2 units allowed every year"
"E0175","Commode chair foot rest","DME-Purchase","Yes",,,,"$109.77","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0181","Press pad alternating w/ pum","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$19.48","$194.80","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0182","Replace pump, alt press pad","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$27.22","$272.20","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0184","Dry pressure mattress","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$20.54","$205.36","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0185","Gel pressure mattress pad","DME-Purchase","Yes",,,,"$220.18","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 3 years"
"E0186","Air pressure mattress","DME-Purchase","Yes",,,,"$229.00","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every year"
"E0187","Water pressure mattress","DME-Purchase","Yes",,,,"$264.40","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 2 years"
"E0188","Synthetic sheepskin pad","DME-Purchase","Yes",,,,"$32.02","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","4 units allowed every year"
"E0189","Lambswool sheepskin pad","DME-Purchase","Yes",,,,"$62.94","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0191","Protector heel or elbow","DME-Purchase","Yes",,,,"$16.37","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0196","Gel pressure mattress","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$39.69","$396.90","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0197","Air pressure pad for mattres","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$23.93","$239.30","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every year for purchase, 1 unit allowed every month for rental"
"E0198","Water pressure pad for mattr","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$31.59","$315.90","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"E0199","Dry pressure pad for mattres","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$3.75","$37.74","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","Yes, for purchase","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"E0202","Phototherapy light w/ photom","DME-Rental","Yes",,"RR for rental","$75.86",,"No","No","No","Yes","Yes, for rental","Yes, for rental","Yes, for rental","Yes, for rental","1 unit allowed every month for rental"
"E0203","Therapeutic lightbox tabletp","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$29.37","$353.05","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 5 years for purchase, 1 unit allowed every month for rental"
"E0240","Bath/shower chair","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$7.54","$90.26","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 2 years for purchase, 1 unit allowed every month for rental"
"E0245","Tub stool or bench","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$5.74","$69.02","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0249","Pad water circulating heat u","DME-Purchase","Yes",,,,"$192.72","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 10 years"
"E0250","Hosp bed fixed ht w/ mattres","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.36","$763.60","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0251","Hosp bed fixd ht w/o mattres","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$73.81","$738.10","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0255","Hospital bed var ht w/ mattr","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.74","$767.40","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0256","Hospital bed var ht w/o matt","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$74.42","$744.20","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0260","Hosp bed semi-electr w/ matt","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.74","$767.40","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0261","Hosp bed semi-electr w/o mat","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.74","$767.40","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0265","Hosp bed total electr w/ mat","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$184.01","$1,840.10","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0266","Hosp bed total elec w/o matt","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$160.11","$1,601.10","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0271","Mattress innerspring","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$29.08","$358.19","No","No","No","Yes","Yes, for purchase","Yes, for purchase and rental","Yes, for purchase","No","1 unit allowed every 3 years for purchase, 1 unit allowed every month for rental"
"E0272","Mattress foam rubber","DME-Purchase","Yes",,,,"$222.17","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0275","Bed pan standard","DME-Purchase","Yes",,,,"$25.67","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 3 years"
"E0276","Bed pan fracture","DME-Purchase","Yes",,,,"$21.51","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 10 years"
"E0277","Powered pres-redu air mattrs","DME-Rental","Yes",,"RR for rental","$257.64","$0.00","No","No","No","Yes","Yes, for rental","Yes, for rental","Yes, for rental","Yes, for rental","1 unit allowed every month for rental"
"E0280","Bed cradle","DME-Purchase","Yes",,,,"$61.99","No","No","No","Yes","Yes, for purchase","Yes, for purchase","Yes, for purchase","No","1 unit allowed every 10 years"
"E0290","Hosp bed fx ht w/o rails w/m","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$71.73","$717.30","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0291","Hosp bed fx ht w/o rail w/o","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$54.75","$547.50","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0292","Hosp bed var ht no sr w/matt","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.35","$763.50","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0293","Hosp bed var ht no sr no mat","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$70.21","$702.10","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
"E0294","Hosp bed semi-elect w/ mattr","DME-Purchase, DME-Rental","Yes",,"NU for purchase, RR for rental","$76.74","$767.40","No","No","No","Yes","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","Yes, for purchase and rental","1 unit allowed every 10 years for purchase, 1 unit allowed every month for rental"
